Time,Rating,TimeStamp
0,,0
10,,10
20,,20
30,,30
40,,40
50,,50
60,,0
70,,10
80,,20
90,,30
100,,40
110,,50
120,,0
130,,10
140,,20
150,,30
160,,40
170,,50
180,,0
190,,10
200,,20
210,,30
220,,40
230,,50
240,,0
250,,10
260,,20
270,,30
280,,40
290,,50
300,,0
310,,10
320,,20
330,,30
340,,40
350,,50
360,,0
370,,10
380,,20
390,,30
400,,40
410,,50
420,,0
430,,10
440,,20
450,,30
460,,40
470,,50
480,,0
490,,10
500,,20
510,,30
520,,40
530,,50
540,,0
550,,10
560,,20
570,,30
580,,40
590,,50
600,,0
610,,10
620,,20
630,,30
640,,40
650,,50
660,,0
670,,10
680,,20
690,,30
700,,40
710,,50
720,,0
730,,10
740,,20
750,,30
760,,40
770,,50
780,,0
790,,10
800,,20
810,,30
820,,40
830,,50
840,,0
850,,10
860,,20
870,,30
880,,40
,,50
