Split ratio    Model              Train Accuracy     Test Accuracy
-------------  -----------------  -----------------  ------------------
0.2            Descison tree      100.0              74.19354838709677
0.2            Random Forest      100.0              77.41935483870968
0.2            KNN                81.70731707317073  76.61290322580645
0.2            AdaBoost           79.67479674796748  67.74193548387096
0.2            Gaussian NB        66.26016260162602  62.903225806451616
0.2            SVM                73.3739837398374   66.93548387096774
0.2            Gradient Boosting  99.79674796747967  75.80645161290323
0.2            MLP                87.8048780487805   74.19354838709677
-------------  -------------      -------------      -------------
0.3            Descison tree      100.0              63.78378378378379
0.3            Random Forest      100.0              81.08108108108108
0.3            KNN                81.67053364269141  72.43243243243244
0.3            AdaBoost           79.58236658932715  69.72972972972973
0.3            Gaussian NB        65.89327146171694  64.86486486486487
0.3            SVM                72.8538283062645   70.8108108108108
0.3            Gradient Boosting  100.0              79.45945945945945
0.3            MLP                85.1508120649652   76.75675675675676
-------------  -------------      -------------      -------------
0.4            Descison tree      100.0              65.9919028340081
0.4            Random Forest      100.0              78.94736842105263
0.4            KNN                82.92682926829268  73.27935222672065
0.4            AdaBoost           79.67479674796748  68.42105263157895
0.4            Gaussian NB        63.41463414634146  64.37246963562752
0.4            SVM                73.44173441734418  69.63562753036437
0.4            Gradient Boosting  100.0              76.51821862348179
0.4            MLP                88.88888888888889  74.89878542510121
-------------  -------------      -------------      -------------
0.5            Descison tree      100.0              71.1038961038961
0.5            Random Forest      100.0              80.1948051948052
0.5            KNN                82.79220779220779  75.0
0.5            AdaBoost           80.51948051948052  71.75324675324676
0.5            Gaussian NB        63.63636363636363  66.55844155844156
0.5            SVM                71.75324675324676  72.07792207792207
0.5            Gradient Boosting  100.0              78.8961038961039
0.5            MLP                87.33766233766234  76.62337662337663
-------------  -------------      -------------      -------------
0.6            Descison tree      100.0              68.10810810810811
0.6            Random Forest      100.0              78.37837837837837
0.6            KNN                81.70731707317073  73.24324324324324
0.6            AdaBoost           79.26829268292683  69.1891891891892
0.6            Gaussian NB        65.85365853658537  65.67567567567568
0.6            SVM                69.91869918699187  72.43243243243244
0.6            Gradient Boosting  100.0              77.29729729729729
0.6            MLP                82.92682926829268  76.21621621621621
-------------  -------------      -------------      -------------
