Split ratio    Model              Train Accuracy      Test Accuracy
-------------  -----------------  ------------------  ------------------
0.2            Descison tree      100.0               100.0
0.2            Random Forest      100.0               100.0
0.2            KNN                100.0               100.0
0.2            AdaBoost           63.51251158480075   63.862120088954775
0.2            Gaussian NB        60.46339202965709   59.7479614529281
0.2            SVM                68.17886932344763   67.14232765011118
0.2            Gradient Boosting  81.70991658943466   80.33728687916975
0.2            MLP                66.96941612604263   66.93847294292068
-------------  -------------      -------------       -------------
0.3            Descison tree      100.0               100.0
0.3            Random Forest      100.0               100.0
0.3            KNN                100.0               100.0
0.3            AdaBoost           62.75485886776465   63.1409860373162
0.3            Gaussian NB        60.631255626754225  59.594711479055974
0.3            SVM                68.21479637769421   67.40392932163599
0.3            Gradient Boosting  81.9679076417942    80.78586432719635
0.3            MLP                67.05502303659377   66.94674409983938
-------------  -------------      -------------       -------------
0.4            Descison tree      100.0               100.0
0.4            Random Forest      100.0               100.0
0.4            KNN                100.0               100.0
0.4            AdaBoost           60.648748841519925  60.86553609489389
0.4            Gaussian NB        60.630213160333646  59.85543508479289
0.4            SVM                68.79827000308929   67.17635066258919
0.4            Gradient Boosting  82.5517454433117    80.50227041052729
0.4            MLP                69.13191226444239   68.45519414326753
-------------  -------------      -------------       -------------
0.5            Descison tree      100.0               100.0
0.5            Random Forest      100.0               100.0
0.5            KNN                100.0               100.0
0.5            AdaBoost           62.055160142348754  62.26275207591934
0.5            Gaussian NB        60.37959667852907   60.4982206405694
0.5            SVM                68.26067615658363   67.68238434163702
0.5            Gradient Boosting  82.62900355871886   80.95344009489916
0.5            MLP                68.30516014234875   67.99377224199287
-------------  -------------      -------------       -------------
0.6            Descison tree      100.0               100.0
0.6            Random Forest      100.0               100.0
0.6            KNN                99.84244670991659   99.1165204497714
0.6            AdaBoost           63.51251158480075   63.03595699987644
0.6            Gaussian NB        60.352177942539385  60.59557642407019
0.6            SVM                68.05375347544023   67.32361299888792
0.6            Gradient Boosting  83.33642261353104   80.46459903620413
0.6            MLP                64.90268767377201   64.4816508093414
-------------  -------------      -------------       -------------
