Split ratio    Model              Train Accuracy     Test Accuracy
-------------  -----------------  -----------------  -----------------
0.2            Descison tree      100.0              81.0126582278481
0.2            Random Forest      100.0              85.31645569620252
0.2            KNN                87.82498414711478  83.29113924050633
0.2            AdaBoost           78.44007609384907  75.44303797468355
0.2            Gaussian NB        65.7577679137603   66.32911392405063
0.2            SVM                73.11350665821179  72.40506329113924
0.2            Gradient Boosting  93.3417882054534   81.0126582278481
0.2            MLP                83.9568801521877   78.73417721518987
-------------  -------------      -------------      -------------
0.3            Descison tree      100.0              75.16891891891892
0.3            Random Forest      100.0              83.78378378378379
0.3            KNN                86.66666666666667  80.74324324324324
0.3            AdaBoost           77.97101449275362  74.32432432432432
0.3            Gaussian NB        65.94202898550725  65.70945945945947
0.3            SVM                74.05797101449275  71.28378378378379
0.3            Gradient Boosting  93.33333333333333  83.44594594594594
0.3            MLP                83.47826086956522  78.88513513513513
-------------  -------------      -------------      -------------
0.4            Descison tree      100.0              76.29911280101395
0.4            Random Forest      100.0              83.90367553865653
0.4            KNN                86.64412510566358  81.36882129277566
0.4            AdaBoost           79.374471682164    74.01774397972116
0.4            Gaussian NB        65.68047337278107  66.28643852978455
0.4            SVM                72.86559594251902  72.87705956907477
0.4            Gradient Boosting  94.75908706677939  82.76299112801014
0.4            MLP                87.23584108199492  79.59442332065906
-------------  -------------      -------------      -------------
0.5            Descison tree      100.0              73.73225152129818
0.5            Random Forest      100.0              83.36713995943205
0.5            KNN                85.49695740365112  80.6288032454361
0.5            AdaBoost           78.80324543610547  74.0365111561866
0.5            Gaussian NB        64.19878296146044  63.28600405679513
0.5            SVM                74.64503042596348  73.22515212981745
0.5            Gradient Boosting  96.34888438133873  82.04868154158214
0.5            MLP                81.7444219066937   74.64503042596348
-------------  -------------      -------------      -------------
0.6            Descison tree      100.0              75.76013513513513
0.6            Random Forest      100.0              83.02364864864865
0.6            KNN                84.8984771573604   79.64527027027027
0.6            AdaBoost           79.44162436548223  73.39527027027027
0.6            Gaussian NB        66.75126903553299  63.59797297297297
0.6            SVM                73.73096446700508  72.21283783783784
0.6            Gradient Boosting  97.08121827411168  82.5168918918919
0.6            MLP                85.27918781725889  77.7027027027027
-------------  -------------      -------------      -------------
