    Split ratio    Model              Train Accuracy     Test Accuracy
    -------------  -----------------  -----------------  -----------------
    0.2            Descison tree      100.0              85.42274052478133
    0.2            Random Forest      100.0              88.92128279883383
    0.2            KNN                91.23447772096421  88.33819241982506
    0.2            AdaBoost           88.97005113221329  85.71428571428571
    0.2            Gaussian NB        81.15412710007305  83.38192419825073
    0.2            SVM                86.48648648648648  85.42274052478133
    0.2            Gradient Boosting  97.66252739225713  90.0874635568513
    0.2            MLP                89.77355734112491  86.0058309037901
    -------------  -------------      -------------      -------------
    0.3            Descison tree      100.0              83.85214007782102
    0.3            Random Forest      100.0              88.32684824902724
    0.3            KNN                90.98497495826378  88.32684824902724
    0.3            AdaBoost           89.39899833055091  84.24124513618678
    0.3            Gaussian NB        80.7178631051753   83.26848249027238
    0.3            SVM                86.0601001669449   85.60311284046692
    0.3            Gradient Boosting  97.74624373956594  88.91050583657587
    0.3            MLP                88.73121869782972  86.57587548638132
    -------------  -------------      -------------      -------------
    0.4            Descison tree      100.0              83.06569343065694
    0.4            Random Forest      100.0              87.73722627737226
    0.4            KNN                90.45764362220059  85.54744525547446
    0.4            AdaBoost           89.5813047711782   84.08759124087591
    0.4            Gaussian NB        80.91528724440117  82.18978102189782
    0.4            SVM                86.56280428432326  84.96350364963504
    0.4            Gradient Boosting  98.73417721518987  86.42335766423358
    0.4            MLP                89.48393378773125  86.42335766423358
    -------------  -------------      -------------      -------------
    0.5            Descison tree      100.0              83.41121495327103
    0.5            Random Forest      100.0              87.73364485981308
    0.5            KNN                90.53738317757009  86.0981308411215
    0.5            AdaBoost           88.20093457943925  82.94392523364486
    0.5            Gaussian NB        80.8411214953271   83.06074766355141
    0.5            SVM                86.33177570093457  85.51401869158879
    0.5            Gradient Boosting  99.1822429906542   87.14953271028037
    0.5            MLP                89.01869158878505  85.2803738317757
    -------------  -------------      -------------      -------------
    0.6            Descison tree      100.0              83.36575875486382
    0.6            Random Forest      100.0              87.45136186770428
    0.6            KNN                89.47368421052632  86.18677042801556
    0.6            AdaBoost           87.57309941520468  84.53307392996109
    0.6            Gaussian NB        79.97076023391813  82.78210116731518
    0.6            SVM                85.96491228070175  85.7976653696498
    0.6            Gradient Boosting  99.41520467836257  86.57587548638132
    0.6            MLP                90.78947368421053  84.92217898832685
    -------------  -------------      -------------      -------------
