Split ratio    Model              Train Accuracy     Test Accuracy
-------------  -----------------  -----------------  -----------------
0.2            Descison tree      100.0              99.70794392523365
0.2            Random Forest      100.0              99.85397196261682
0.2            KNN                93.83761682242991  90.65420560747664
0.2            AdaBoost           88.14982476635514  87.64602803738318
0.2            Gaussian NB        83.54264018691589  83.93691588785047
0.2            SVM                86.90128504672897  86.56542056074767
0.2            Gradient Boosting  94.61886682242991  94.21728971962617
0.2            MLP                87.5               86.88668224299066
-------------  -------------      -------------      -------------
0.3            Descison tree      100.0              99.55218068535827
0.3            Random Forest      100.0              99.82476635514018
0.3            KNN                93.67489986648864  90.82943925233646
0.3            AdaBoost           87.64185580774367  87.67523364485982
0.3            Gaussian NB        83.5530707610147   83.91744548286604
0.3            SVM                86.87416555407209  86.7601246105919
0.3            Gradient Boosting  94.85146862483312  94.50934579439252
0.3            MLP                88.74332443257677  87.73364485981308
-------------  -------------      -------------      -------------
0.4            Descison tree      100.0              99.31366822429906
0.4            Random Forest      100.0              99.62032710280374
0.4            KNN                93.46767912772586  90.59579439252336
0.4            AdaBoost           87.38317757009347  87.55841121495327
0.4            Gaussian NB        83.50856697819314  83.57184579439252
0.4            SVM                86.84774143302181  86.6822429906542
0.4            Gradient Boosting  94.88901869158879  94.0858644859813
0.4            MLP                88.9018691588785   87.9088785046729
-------------  -------------      -------------      -------------
0.5            Descison tree      100.0              99.3107476635514
0.5            Random Forest      100.0              99.1588785046729
0.5            KNN                93.2943925233645   89.90654205607477
0.5            AdaBoost           87.64018691588785  87.46495327102804
0.5            Gaussian NB        83.39953271028038  83.78504672897196
0.5            SVM                86.82242990654206  86.46028037383178
0.5            Gradient Boosting  94.50934579439252  93.80841121495327
0.5            MLP                89.40420560747664  88.91355140186916
-------------  -------------      -------------      -------------
0.6            Descison tree      100.0              98.67601246105919
0.6            Random Forest      100.0              98.46183800623052
0.6            KNN                92.69859813084112  89.53465732087228
0.6            AdaBoost           88.08411214953271  88.42484423676012
0.6            Gaussian NB        83.25058411214953  83.8785046728972
0.6            SVM                86.4339953271028   86.72118380062305
0.6            Gradient Boosting  94.88901869158879  94.20755451713396
0.6            MLP                88.7266355140187   88.28855140186917
-------------  -------------      -------------      -------------
