Split ratio    Model              Train Accuracy     Test Accuracy
-------------  -----------------  -----------------  -----------------
0.2            Descison tree      100.0              80.8411214953271
0.2            Random Forest      100.0              88.78504672897196
0.2            KNN                89.94152046783626  88.78504672897196
0.2            AdaBoost           88.18713450292398  84.57943925233646
0.2            Gaussian NB        80.23391812865496  85.51401869158879
0.2            SVM                85.73099415204678  87.38317757009347
0.2            Gradient Boosting  99.41520467836257  86.91588785046729
0.2            MLP                89.35672514619884  85.51401869158879
-------------  -------------      -------------      -------------
0.3            Descison tree      100.0              83.17757009345794
0.3            Random Forest      100.0              86.6043613707165
0.3            KNN                89.97326203208557  85.98130841121495
0.3            AdaBoost           77.80748663101605  73.5202492211838
0.3            Gaussian NB        80.08021390374331  85.04672897196261
0.3            SVM                86.49732620320856  85.66978193146417
0.3            Gradient Boosting  99.59893048128342  87.22741433021807
0.3            MLP                89.03743315508021  85.66978193146417
-------------  -------------      -------------      -------------
0.4            Descison tree      100.0              82.00934579439252
0.4            Random Forest      100.0              86.21495327102804
0.4            KNN                89.85959438377536  85.2803738317757
0.4            AdaBoost           87.5195007800312   82.94392523364486
0.4            Gaussian NB        79.71918876755069  84.34579439252336
0.4            SVM                86.42745709828394  85.74766355140187
0.4            Gradient Boosting  99.84399375975039  85.98130841121495
0.4            MLP                89.70358814352574  84.11214953271028
-------------  -------------      -------------      -------------
0.5            Descison tree      100.0              80.0
0.5            Random Forest      100.0              86.16822429906541
0.5            KNN                88.95131086142321  84.67289719626169
0.5            AdaBoost           80.14981273408239  76.44859813084112
0.5            Gaussian NB        79.40074906367042  83.3644859813084
0.5            SVM                86.70411985018727  85.42056074766356
0.5            Gradient Boosting  100.0              86.54205607476636
0.5            MLP                92.13483146067416  84.29906542056075
-------------  -------------      -------------      -------------
0.6            Descison tree      100.0              81.15264797507788
0.6            Random Forest      100.0              86.44859813084112
0.6            KNN                86.65105386416862  85.82554517133957
0.6            AdaBoost           88.75878220140515  84.57943925233646
0.6            Gaussian NB        78.68852459016394  83.48909657320873
0.6            SVM                85.01170960187353  86.7601246105919
0.6            Gradient Boosting  100.0              88.00623052959502
0.6            MLP                87.58782201405153  86.13707165109035
-------------  -------------      -------------      -------------
