Split ratio    Model              Train Accuracy     Test Accuracy
-------------  -----------------  -----------------  -----------------
0.2            Descison tree      100.0              99.67873831775701
0.2            Random Forest      100.0              99.73714953271028
0.2            KNN                93.1804906542056   89.95327102803739
0.2            AdaBoost           88.14982476635514  87.64602803738318
0.2            Gaussian NB        83.54264018691589  83.93691588785047
0.2            SVM                86.71875           86.36098130841121
0.2            Gradient Boosting  94.61886682242991  94.21728971962617
0.2            MLP                88.89456775700934  88.55140186915888
-------------  -------------      -------------      -------------
0.3            Descison tree      100.0              99.68847352024922
0.3            Random Forest      100.0              99.80529595015575
0.3            KNN                93.05740987983978  89.97274143302181
0.3            AdaBoost           87.64185580774367  87.67523364485982
0.3            Gaussian NB        83.5530707610147   83.91744548286604
0.3            SVM                86.66555407209613  86.6822429906542
0.3            Gradient Boosting  94.85146862483312  94.50934579439252
0.3            MLP                89.06041388518024  88.60981308411215
-------------  -------------      -------------      -------------
0.4            Descison tree      100.0              99.29906542056075
0.4            Random Forest      100.0              99.57651869158879
0.4            KNN                92.76674454828661  89.8072429906542
0.4            AdaBoost           87.38317757009347  87.55841121495327
0.4            Gaussian NB        83.50856697819314  83.57184579439252
0.4            SVM                86.66277258566979  86.52161214953271
0.4            Gradient Boosting  94.88901869158879  94.0858644859813
0.4            MLP                88.67795950155764  88.17172897196261
-------------  -------------      -------------      -------------
0.5            Descison tree      100.0              99.35747663551402
0.5            Random Forest      100.0              98.93691588785046
0.5            KNN                92.46495327102804  89.34579439252337
0.5            AdaBoost           87.64018691588785  87.46495327102804
0.5            Gaussian NB        83.39953271028038  83.78504672897196
0.5            SVM                86.74065420560748  86.33177570093457
0.5            Gradient Boosting  94.50934579439252  93.79672897196262
0.5            MLP                88.91355140186916  88.07242990654206
-------------  -------------      -------------      -------------
0.6            Descison tree      100.0              98.81230529595015
0.6            Random Forest      100.0              98.57866043613707
0.6            KNN                92.01226635514018  88.93107476635514
0.6            AdaBoost           88.08411214953271  88.42484423676012
0.6            Gaussian NB        83.25058411214953  83.8785046728972
0.6            SVM                86.33177570093457  86.61409657320873
0.6            Gradient Boosting  94.88901869158879  94.19781931464173
0.6            MLP                86.74065420560748  86.5070093457944
-------------  -------------      -------------      -------------
