Split ratio    Model              Train Accuracy     Test Accuracy
-------------  -----------------  -----------------  ------------------
0.2            Descison tree      92.60689500783523  65.28648164726947
0.2            Random Forest      92.60689500783523  67.591763652641
0.2            KNN                77.10991717036042  69.5389435989257
0.2            AdaBoost           68.37922543093798  67.8379588182632
0.2            Gaussian NB        67.31587194985448  67.54700089525515
0.2            SVM                69.24110141034251  68.50940017905103
0.2            Gradient Boosting  71.32303559435863  69.31512981199643
0.2            MLP                69.31385717483771  68.53178155774395
-------------  -------------      -------------      -------------
0.3            Descison tree      93.0348576910777   65.1395314132219
0.3            Random Forest      93.02846178445795  68.07939113565139
0.3            KNN                77.34569875279821  69.0792419041934
0.3            AdaBoost           68.55132715062359  68.00477540665572
0.3            Gaussian NB        67.4000639590662   67.3033875540964
0.3            SVM                69.33162775823473  68.45246978062976
0.3            Gradient Boosting  71.69811320754717  69.31801223697956
0.3            MLP                69.74096578189959  68.78077898821071
-------------  -------------      -------------      -------------
0.4            Descison tree      93.90344004178792  63.73810856183548
0.4            Random Forest      93.90344004178792  67.01734750979294
0.4            KNN                77.56137601671517  68.61779518746502
0.4            AdaBoost           68.71875233191554  68.29322887520985
0.4            Gaussian NB        67.36064472800537  67.45383324006715
0.4            SVM                69.22617715095888  68.84163402350308
0.4            Gradient Boosting  72.06178643384821  69.92725237828763
0.4            MLP                69.12170733527348  68.67375489647453
-------------  -------------      -------------      -------------
0.5            Descison tree      94.38574498567334  63.95057306590258
0.5            Random Forest      94.38574498567334  67.47851002865329
0.5            KNN                77.60565902578797  68.86640401146131
0.5            AdaBoost           68.66045845272207  68.490329512894
0.5            Gaussian NB        67.23674785100286  67.52328080229226
0.5            SVM                69.22457020057307  68.92908309455588
0.5            Gradient Boosting  72.10780802292264  70.12893982808023
0.5            MLP                69.20666189111748  69.14398280802291
-------------  -------------      -------------      -------------
0.6            Descison tree      94.99664204163868  63.386061781823614
0.6            Random Forest      94.99664204163868  67.19146396060289
0.6            KNN                77.44571300649206  68.87031786300552
0.6            AdaBoost           68.55831654354154  68.258468885241
0.6            Gaussian NB        67.06962167002463  67.51977316818385
0.6            SVM                69.0284307141258   68.9897030293986
0.6            Gradient Boosting  72.43116185359301  70.08655424563499
0.6            MLP                69.3978061338706   68.49723921802716
-------------  -------------      -------------      -------------
